Column,Frequency,Percentage,Files_Count,Sample_Files
SUMLEV,6,12.0,6,"co-est2018-alldata.csv; sc-est2022-agesex-civ.csv; sc-est2022-alldata6.csv"
REGION,6,12.0,6,"co-est2018-alldata.csv; sc-est2022-agesex-civ.csv; sc-est2022-alldata6.csv"
DIVISION,6,12.0,6,"co-est2018-alldata.csv; sc-est2022-agesex-civ.csv; sc-est2022-alldata6.csv"
STATE,6,12.0,6,"co-est2018-alldata.csv; sc-est2022-agesex-civ.csv; sc-est2022-alldata6.csv"
NAME,6,12.0,6,"csa-est2018-alldata.csv; sc-est2022-agesex-civ.csv; sc-est2022-alldata6.csv"
ESTIMATESBASE2020,5,10.0,5,"sc-est2022-alldata6.csv; sc-est2022-alldata5.csv; NST-EST2022-POPCHG2020_2022.csv"
POPESTIMATE2020,5,10.0,5,"sc-est2022-alldata6.csv; sc-est2022-alldata5.csv; NST-EST2022-POPCHG2020_2022.csv"
POPESTIMATE2021,5,10.0,5,"sc-est2022-alldata6.csv; sc-est2022-alldata5.csv; NST-EST2022-POPCHG2020_2022.csv"
POPESTIMATE2022,5,10.0,5,"sc-est2022-alldata6.csv; sc-est2022-alldata5.csv; NST-EST2022-POPCHG2020_2022.csv"
CENSUS2010POP,4,8.0,4,"nc-est2019-agesex-res.csv; co-est2018-alldata.csv; csa-est2018-alldata.csv"
ESTIMATESBASE2010,4,8.0,4,"nc-est2019-agesex-res.csv; co-est2018-alldata.csv; csa-est2018-alldata.csv"
POPESTIMATE2010,4,8.0,4,"nc-est2019-agesex-res.csv; co-est2018-alldata.csv; csa-est2018-alldata.csv"
POPESTIMATE2011,4,8.0,4,"nc-est2019-agesex-res.csv; co-est2018-alldata.csv; csa-est2018-alldata.csv"
POPESTIMATE2012,4,8.0,4,"nc-est2019-agesex-res.csv; co-est2018-alldata.csv; csa-est2018-alldata.csv"
POPESTIMATE2013,4,8.0,4,"nc-est2019-agesex-res.csv; co-est2018-alldata.csv; csa-est2018-alldata.csv"
POPESTIMATE2014,4,8.0,4,"nc-est2019-agesex-res.csv; co-est2018-alldata.csv; csa-est2018-alldata.csv"
POPESTIMATE2015,4,8.0,4,"nc-est2019-agesex-res.csv; co-est2018-alldata.csv; csa-est2018-alldata.csv"
POPESTIMATE2016,4,8.0,4,"nc-est2019-agesex-res.csv; co-est2018-alldata.csv; csa-est2018-alldata.csv"
POPESTIMATE2017,4,8.0,4,"nc-est2019-agesex-res.csv; co-est2018-alldata.csv; csa-est2018-alldata.csv"
POPESTIMATE2018,4,8.0,4,"nc-est2019-agesex-res.csv; co-est2018-alldata.csv; csa-est2018-alldata.csv"
BIRTHS2010,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
BIRTHS2011,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
BIRTHS2012,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
BIRTHS2013,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
BIRTHS2014,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
BIRTHS2015,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
BIRTHS2016,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
BIRTHS2017,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
BIRTHS2018,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
DEATHS2010,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
DEATHS2011,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
DEATHS2012,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
DEATHS2013,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
DEATHS2014,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
DEATHS2015,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
DEATHS2016,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
DEATHS2017,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
DEATHS2018,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
NATURALINC2010,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
NATURALINC2011,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
NATURALINC2012,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
NATURALINC2013,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
NATURALINC2014,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
NATURALINC2015,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
NATURALINC2016,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
NATURALINC2017,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
NATURALINC2018,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
INTERNATIONALMIG2010,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
INTERNATIONALMIG2011,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
INTERNATIONALMIG2012,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
INTERNATIONALMIG2013,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
INTERNATIONALMIG2014,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
INTERNATIONALMIG2015,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
INTERNATIONALMIG2016,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
INTERNATIONALMIG2017,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
INTERNATIONALMIG2018,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
DOMESTICMIG2010,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
DOMESTICMIG2011,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
DOMESTICMIG2012,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
DOMESTICMIG2013,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
DOMESTICMIG2014,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
DOMESTICMIG2015,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
DOMESTICMIG2016,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
DOMESTICMIG2017,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
DOMESTICMIG2018,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
NETMIG2010,2,4.0,2,"co-est2018-alldata.csv; csa-est2018-alldata.csv"
